---------------------------------
| rollout/           |          |
|    explained_variance   | 0.0697      |
|    learning_rate        | 0.0005      |
|    loss                 | 2.8         |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 6.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.5         |
|    ep_rew_mean          | 1.47        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 7           |
|    time_elapsed         | 195         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.022692049 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.64       |
|    explained_variance   | 0.108       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.56        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0249     |
|    value_loss           | 5.53        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.76        |
|    ep_rew_mean          | 2.07        |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 8           |
|    time_elapsed         | 221         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.018754812 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.623      |
|    explained_variance   | 0.0593      |
|    learning_rate        | 0.0005      |
|    loss                 | 1.97        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0258     |
|    value_loss           | 4.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.6         |
|    ep_rew_mean          | 1.9         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 9           |
|    time_elapsed         | 248         |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.030958747 |
|    clip_fraction        | 0.228       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.595      |
|    explained_variance   | 0.057       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.25        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0299     |
|    value_loss           | 3.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.47        |
|    ep_rew_mean          | 1.2         |
| time/                   |             |
|    fps                  | 27          |
|    iterations           | 10          |
|    time_elapsed         | 274         |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.021381324 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.574      |
|    explained_variance   | 0.104       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.45        |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0305     |
|    value_loss           | 3.91        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.36        |
|    ep_rew_mean          | 1.4         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 11          |
|    time_elapsed         | 299         |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.021868102 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.597      |
|    explained_variance   | 0.208       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.31        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0278     |
|    value_loss           | 3.54        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.22       |
|    ep_rew_mean          | -2.07      |
| time/                   |            |
|    fps                  | 28         |
|    iterations           | 12         |
|    time_elapsed         | 326        |
|    total_timesteps      | 9216       |
| train/                  |            |
|    approx_kl            | 0.03726212 |
|    clip_fraction        | 0.26       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.612     |
|    explained_variance   | -0.055     |
|    learning_rate        | 0.0005     |
|    loss                 | 0.771      |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0377    |
|    value_loss           | 4.11       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.96       |
|    ep_rew_mean          | 0.904      |
| time/                   |            |
|    fps                  | 28         |
|    iterations           | 13         |
|    time_elapsed         | 352        |
|    total_timesteps      | 9984       |
| train/                  |            |
|    approx_kl            | 0.07221953 |
|    clip_fraction        | 0.338      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.591     |
|    explained_variance   | 0.0255     |
|    learning_rate        | 0.0005     |
|    loss                 | 3.3        |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0576    |
|    value_loss           | 8.53       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.24        |
|    ep_rew_mean          | 0.863       |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 14          |
|    time_elapsed         | 381         |
|    total_timesteps      | 10752       |
| train/                  |             |
|    approx_kl            | 0.065473415 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.558      |
|    explained_variance   | -0.17       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.63        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0509     |
|    value_loss           | 4.66        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.91        |
|    ep_rew_mean          | 1.5         |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 15          |
|    time_elapsed         | 407         |
|    total_timesteps      | 11520       |
| train/                  |             |
|    approx_kl            | 0.032333452 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.55       |
|    explained_variance   | 0.0888      |
|    learning_rate        | 0.0005      |
|    loss                 | 0.884       |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.046      |
|    value_loss           | 3.83        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.19        |
|    ep_rew_mean          | 1.45        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 16          |
|    time_elapsed         | 433         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.032958627 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.528      |
|    explained_variance   | 0.0321      |
|    learning_rate        | 0.0005      |
|    loss                 | 1.2         |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0428     |
|    value_loss           | 4.08        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.95       |
|    ep_rew_mean          | -1.27      |
| time/                   |            |
|    fps                  | 28         |
|    iterations           | 17         |
|    time_elapsed         | 458        |
|    total_timesteps      | 13056      |
| train/                  |            |
|    approx_kl            | 0.05190134 |
|    clip_fraction        | 0.305      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.541     |
|    explained_variance   | 0.228      |
|    learning_rate        | 0.0005     |
|    loss                 | 1.15       |
|    n_updates            | 480        |
|    policy_gradient_loss | -0.0396    |
|    value_loss           | 2.64       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.19       |
|    ep_rew_mean          | 0.574      |
| time/                   |            |
|    fps                  | 28         |
|    iterations           | 18         |
|    time_elapsed         | 485        |
|    total_timesteps      | 13824      |
| train/                  |            |
|    approx_kl            | 0.14151008 |
|    clip_fraction        | 0.331      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.487     |
|    explained_variance   | -0.0154    |
|    learning_rate        | 0.0005     |
|    loss                 | 2.73       |
|    n_updates            | 510        |
|    policy_gradient_loss | -0.0504    |
|    value_loss           | 7.39       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.97        |
|    ep_rew_mean          | 1.79        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 19          |
|    time_elapsed         | 510         |
|    total_timesteps      | 14592       |
| train/                  |             |
|    approx_kl            | 0.047346305 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.516      |
|    explained_variance   | 0.136       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.25        |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.0419     |
|    value_loss           | 4.25        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.21        |
|    ep_rew_mean          | 0.0786      |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 20          |
|    time_elapsed         | 537         |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.033216342 |
|    clip_fraction        | 0.281       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.507      |
|    explained_variance   | 0.103       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.601       |
|    n_updates            | 570         |
|    policy_gradient_loss | -0.0451     |
|    value_loss           | 3.01        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.4        |
|    ep_rew_mean          | 2.19       |
| time/                   |            |
|    fps                  | 28         |
|    iterations           | 21         |
|    time_elapsed         | 564        |
|    total_timesteps      | 16128      |
| train/                  |            |
|    approx_kl            | 0.04355475 |
|    clip_fraction        | 0.305      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.511     |
|    explained_variance   | 0.143      |
|    learning_rate        | 0.0005     |
|    loss                 | 1.52       |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0562    |
|    value_loss           | 4.04       |
----------------------------------------
Traceback (most recent call last):
  File "/Users/visakkumar/Desktop/reactive/highway-env/scripts/sb3_highway_intersection_ppo.py", line 37, in <module>
    model.learn(total_timesteps=int(1e5))
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/ppo/ppo.py", line 299, in learn
    return super(PPO, self).learn(
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 250, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py", line 162, in step
    return self.step_wait()
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 255, in recv
    buf = self._recv_bytes()
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 419, in _recv_bytes
    buf = self._recv(4)
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 384, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
