---------------------------------
| rollout/           |          |
| rollout/                |             |
|    ep_len_mean          | 12.7        |
|    ep_rew_mean          | 28.3        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 6           |
|    time_elapsed         | 212         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.029050903 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.569      |
|    explained_variance   | 0.355       |
|    learning_rate        | 0.0005      |
|    loss                 | 21.6        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0311     |
|    value_loss           | 35.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | 29          |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 7           |
|    time_elapsed         | 239         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.010822564 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.531      |
|    explained_variance   | 0.417       |
|    learning_rate        | 0.0005      |
|    loss                 | 15.3        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0116     |
|    value_loss           | 26.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13          |
|    ep_rew_mean          | 29.6        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 8           |
|    time_elapsed         | 267         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.011077914 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.488      |
|    explained_variance   | 0.411       |
|    learning_rate        | 0.0005      |
|    loss                 | 8.76        |
|    n_updates            | 210         |
|    policy_gradient_loss | 0.00264     |
|    value_loss           | 23.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 13          |
|    ep_rew_mean          | 29.7        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 9           |
|    time_elapsed         | 296         |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.013199535 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.373      |
|    explained_variance   | 0.44        |
|    learning_rate        | 0.0005      |
|    loss                 | 12.7        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00776    |
|    value_loss           | 24.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 12.9        |
|    ep_rew_mean          | 29.3        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 10          |
|    time_elapsed         | 325         |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.012074129 |
|    clip_fraction        | 0.203       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.35       |
|    explained_variance   | 0.477       |
|    learning_rate        | 0.0005      |
|    loss                 | 7.16        |
|    n_updates            | 270         |
|    policy_gradient_loss | 0.00173     |
|    value_loss           | 20.4        |
-----------------------------------------
Traceback (most recent call last):
  File "/Users/visakkumar/Desktop/reactive/highway-env/scripts/sb3_highway_intersection_ppo.py", line 37, in <module>
    model.learn(total_timesteps=int(1e5))
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/ppo/ppo.py", line 299, in learn
    return super(PPO, self).learn(
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 250, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py", line 162, in step
    return self.step_wait()
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 255, in recv
    buf = self._recv_bytes()
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 419, in _recv_bytes
    buf = self._recv(4)
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 384, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
