---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 4.11        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 11          |
|    time_elapsed         | 234         |
|    total_timesteps      | 8448        |
| train/                  |             |
|    approx_kl            | 0.022054078 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.17       |
|    explained_variance   | 0.151       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.925       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0326     |
|    value_loss           | 1.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.12        |
|    ep_rew_mean          | 3.75        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 12          |
|    time_elapsed         | 253         |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.027103476 |
|    clip_fraction        | 0.267       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.18       |
|    explained_variance   | 0.163       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.596       |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0339     |
|    value_loss           | 1.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.89        |
|    ep_rew_mean          | 4.7         |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 13          |
|    time_elapsed         | 273         |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.024233287 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.279       |
|    learning_rate        | 0.0005      |
|    loss                 | 1.12        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0359     |
|    value_loss           | 1.64        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.31        |
|    ep_rew_mean          | 4.44        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 14          |
|    time_elapsed         | 294         |
|    total_timesteps      | 10752       |
| train/                  |             |
|    approx_kl            | 0.021737725 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.205       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.634       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 1.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.09        |
|    ep_rew_mean          | 4.09        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 15          |
|    time_elapsed         | 314         |
|    total_timesteps      | 11520       |
| train/                  |             |
|    approx_kl            | 0.020043826 |
|    clip_fraction        | 0.247       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.967      |
|    explained_variance   | 0.275       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.995       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0278     |
|    value_loss           | 1.46        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.88       |
|    ep_rew_mean          | 5.12       |
| time/                   |            |
|    fps                  | 36         |
|    iterations           | 16         |
|    time_elapsed         | 335        |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.02875027 |
|    clip_fraction        | 0.2        |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.904     |
|    explained_variance   | 0.293      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.809      |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0269    |
|    value_loss           | 1.62       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.98        |
|    ep_rew_mean          | 4.31        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 17          |
|    time_elapsed         | 358         |
|    total_timesteps      | 13056       |
| train/                  |             |
|    approx_kl            | 0.026444769 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.875      |
|    explained_variance   | 0.24        |
|    learning_rate        | 0.0005      |
|    loss                 | 0.566       |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0298     |
|    value_loss           | 1.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.28        |
|    ep_rew_mean          | 4.86        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 18          |
|    time_elapsed         | 378         |
|    total_timesteps      | 13824       |
| train/                  |             |
|    approx_kl            | 0.020820461 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.803      |
|    explained_variance   | 0.257       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.664       |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0254     |
|    value_loss           | 1.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.51        |
|    ep_rew_mean          | 4           |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 19          |
|    time_elapsed         | 397         |
|    total_timesteps      | 14592       |
| train/                  |             |
|    approx_kl            | 0.019962156 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.838      |
|    explained_variance   | 0.278       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.635       |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0212     |
|    value_loss           | 1.39        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.58       |
|    ep_rew_mean          | 4.15       |
| time/                   |            |
|    fps                  | 36         |
|    iterations           | 20         |
|    time_elapsed         | 417        |
|    total_timesteps      | 15360      |
| train/                  |            |
|    approx_kl            | 0.03357501 |
|    clip_fraction        | 0.202      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.869     |
|    explained_variance   | 0.286      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.788      |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0276    |
|    value_loss           | 1.56       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.52        |
|    ep_rew_mean          | 4.8         |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 21          |
|    time_elapsed         | 436         |
|    total_timesteps      | 16128       |
| train/                  |             |
|    approx_kl            | 0.036643837 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.874      |
|    explained_variance   | 0.355       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.763       |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0223     |
|    value_loss           | 1.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7          |
|    ep_rew_mean          | 4.64       |
| time/                   |            |
|    fps                  | 37         |
|    iterations           | 22         |
|    time_elapsed         | 455        |
|    total_timesteps      | 16896      |
| train/                  |            |
|    approx_kl            | 0.03127568 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.801     |
|    explained_variance   | 0.303      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.754      |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.0265    |
|    value_loss           | 1.31       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.96        |
|    ep_rew_mean          | 4.14        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 23          |
|    time_elapsed         | 477         |
|    total_timesteps      | 17664       |
| train/                  |             |
|    approx_kl            | 0.016886963 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.791      |
|    explained_variance   | 0.367       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.59        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0253     |
|    value_loss           | 1.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.06        |
|    ep_rew_mean          | 3.99        |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 24          |
|    time_elapsed         | 496         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.039865673 |
|    clip_fraction        | 0.284       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.843      |
|    explained_variance   | 0.365       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.412       |
|    n_updates            | 460         |
|    policy_gradient_loss | -0.0334     |
|    value_loss           | 1.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.06        |
|    ep_rew_mean          | 4.98        |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 25          |
|    time_elapsed         | 516         |
|    total_timesteps      | 19200       |
| train/                  |             |
|    approx_kl            | 0.035074133 |
|    clip_fraction        | 0.269       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.817      |
|    explained_variance   | 0.213       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.637       |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0339     |
|    value_loss           | 1.37        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.74        |
|    ep_rew_mean          | 3.87        |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 26          |
|    time_elapsed         | 535         |
|    total_timesteps      | 19968       |
| train/                  |             |
|    approx_kl            | 0.034215063 |
|    clip_fraction        | 0.281       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.879      |
|    explained_variance   | 0.272       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.712       |
|    n_updates            | 500         |
|    policy_gradient_loss | -0.0333     |
|    value_loss           | 1.2         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.29        |
|    ep_rew_mean          | 3.94        |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 27          |
|    time_elapsed         | 558         |
|    total_timesteps      | 20736       |
| train/                  |             |
|    approx_kl            | 0.024982452 |
|    clip_fraction        | 0.251       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.946      |
|    explained_variance   | 0.276       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.557       |
|    n_updates            | 520         |
|    policy_gradient_loss | -0.0374     |
|    value_loss           | 1.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.03        |
|    ep_rew_mean          | 3.59        |
| time/                   |             |
|    fps                  | 37          |
|    iterations           | 28          |
|    time_elapsed         | 581         |
|    total_timesteps      | 21504       |
| train/                  |             |
|    approx_kl            | 0.032569304 |
|    clip_fraction        | 0.287       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.871      |
|    explained_variance   | 0.252       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.753       |
|    n_updates            | 540         |
|    policy_gradient_loss | -0.0393     |
|    value_loss           | 1.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.94        |
|    ep_rew_mean          | 4.38        |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 29          |
|    time_elapsed         | 603         |
|    total_timesteps      | 22272       |
| train/                  |             |
|    approx_kl            | 0.024832753 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.866      |
|    explained_variance   | 0.286       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.493       |
|    n_updates            | 560         |
|    policy_gradient_loss | -0.0337     |
|    value_loss           | 1.47        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.74        |
|    ep_rew_mean          | 4.6         |
| time/                   |             |
|    fps                  | 36          |
|    iterations           | 30          |
|    time_elapsed         | 634         |
|    total_timesteps      | 23040       |
| train/                  |             |
|    approx_kl            | 0.025990145 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.855      |
|    explained_variance   | 0.326       |
|    learning_rate        | 0.0005      |
|    loss                 | 0.679       |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.034      |
|    value_loss           | 1.32        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 7.02       |
|    ep_rew_mean          | 4.24       |
| time/                   |            |
|    fps                  | 36         |
|    iterations           | 31         |
|    time_elapsed         | 659        |
|    total_timesteps      | 23808      |
| train/                  |            |
|    approx_kl            | 0.02333279 |
|    clip_fraction        | 0.245      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.804     |
|    explained_variance   | 0.239      |
|    learning_rate        | 0.0005     |
|    loss                 | 0.57       |
|    n_updates            | 600        |
|    policy_gradient_loss | -0.0353    |
|    value_loss           | 1.38       |
----------------------------------------
Traceback (most recent call last):
  File "/Users/visakkumar/Desktop/reactive/highway-env/scripts/sb3_highway_ppo.py", line 37, in <module>
    model.learn(total_timesteps=int(1e5))
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/ppo/ppo.py", line 299, in learn
    return super(PPO, self).learn(
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 250, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py", line 162, in step
    return self.step_wait()
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 255, in recv
    buf = self._recv_bytes()
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 419, in _recv_bytes
    buf = self._recv(4)
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 384, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
