---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0766     |
|    value_loss           | 0.202       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | 15.8        |
| time/                   |             |
|    fps                  | 26          |
|    iterations           | 12          |
|    time_elapsed         | 348         |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.051315162 |
|    clip_fraction        | 0.483       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.97       |
|    explained_variance   | 0.519       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0439     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0795     |
|    value_loss           | 0.192       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.3       |
|    ep_rew_mean          | 15.5       |
| time/                   |            |
|    fps                  | 27         |
|    iterations           | 13         |
|    time_elapsed         | 368        |
|    total_timesteps      | 9984       |
| train/                  |            |
|    approx_kl            | 0.04524065 |
|    clip_fraction        | 0.446      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.927     |
|    explained_variance   | 0.5        |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0282    |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0815    |
|    value_loss           | 0.191      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 17.6       |
|    ep_rew_mean          | 15         |
| time/                   |            |
|    fps                  | 27         |
|    iterations           | 14         |
|    time_elapsed         | 388        |
|    total_timesteps      | 10752      |
| train/                  |            |
|    approx_kl            | 0.04497607 |
|    clip_fraction        | 0.469      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.917     |
|    explained_variance   | 0.47       |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0715    |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0832    |
|    value_loss           | 0.246      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16.5        |
|    ep_rew_mean          | 14.3        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 15          |
|    time_elapsed         | 407         |
|    total_timesteps      | 11520       |
| train/                  |             |
|    approx_kl            | 0.054857746 |
|    clip_fraction        | 0.441       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.914      |
|    explained_variance   | 0.413       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0366     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0805     |
|    value_loss           | 0.226       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.3        |
|    ep_rew_mean          | 14.9        |
| time/                   |             |
|    fps                  | 28          |
|    iterations           | 16          |
|    time_elapsed         | 426         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.061081145 |
|    clip_fraction        | 0.456       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.869      |
|    explained_variance   | 0.573       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0346     |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0815     |
|    value_loss           | 0.167       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 17.8        |
|    ep_rew_mean          | 15.3        |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 17          |
|    time_elapsed         | 445         |
|    total_timesteps      | 13056       |
| train/                  |             |
|    approx_kl            | 0.060745824 |
|    clip_fraction        | 0.463       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.838      |
|    explained_variance   | 0.523       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0505     |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0713     |
|    value_loss           | 0.232       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.7        |
|    ep_rew_mean          | 15.8        |
| time/                   |             |
|    fps                  | 29          |
|    iterations           | 18          |
|    time_elapsed         | 465         |
|    total_timesteps      | 13824       |
| train/                  |             |
|    approx_kl            | 0.063292176 |
|    clip_fraction        | 0.482       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.828      |
|    explained_variance   | 0.482       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0633     |
|    n_updates            | 510         |
|    policy_gradient_loss | -0.0833     |
|    value_loss           | 0.154       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.1       |
|    ep_rew_mean          | 16.4       |
| time/                   |            |
|    fps                  | 29         |
|    iterations           | 19         |
|    time_elapsed         | 487        |
|    total_timesteps      | 14592      |
| train/                  |            |
|    approx_kl            | 0.08202642 |
|    clip_fraction        | 0.487      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.811     |
|    explained_variance   | 0.513      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.09      |
|    n_updates            | 540        |
|    policy_gradient_loss | -0.0821    |
|    value_loss           | 0.124      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 20.5       |
|    ep_rew_mean          | 16.5       |
| time/                   |            |
|    fps                  | 30         |
|    iterations           | 20         |
|    time_elapsed         | 507        |
|    total_timesteps      | 15360      |
| train/                  |            |
|    approx_kl            | 0.07749587 |
|    clip_fraction        | 0.47       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.79      |
|    explained_variance   | 0.484      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0851    |
|    n_updates            | 570        |
|    policy_gradient_loss | -0.0838    |
|    value_loss           | 0.118      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 20.6        |
|    ep_rew_mean          | 16.5        |
| time/                   |             |
|    fps                  | 30          |
|    iterations           | 21          |
|    time_elapsed         | 528         |
|    total_timesteps      | 16128       |
| train/                  |             |
|    approx_kl            | 0.075822525 |
|    clip_fraction        | 0.511       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.829      |
|    explained_variance   | 0.405       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0513     |
|    n_updates            | 600         |
|    policy_gradient_loss | -0.0824     |
|    value_loss           | 0.145       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 19.9       |
|    ep_rew_mean          | 16.2       |
| time/                   |            |
|    fps                  | 30         |
|    iterations           | 22         |
|    time_elapsed         | 549        |
|    total_timesteps      | 16896      |
| train/                  |            |
|    approx_kl            | 0.09334883 |
|    clip_fraction        | 0.516      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.815     |
|    explained_variance   | 0.49       |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0849    |
|    n_updates            | 630        |
|    policy_gradient_loss | -0.0808    |
|    value_loss           | 0.14       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.7       |
|    ep_rew_mean          | 15.6       |
| time/                   |            |
|    fps                  | 30         |
|    iterations           | 23         |
|    time_elapsed         | 570        |
|    total_timesteps      | 17664      |
| train/                  |            |
|    approx_kl            | 0.08741058 |
|    clip_fraction        | 0.488      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.824     |
|    explained_variance   | 0.394      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0458    |
|    n_updates            | 660        |
|    policy_gradient_loss | -0.0806    |
|    value_loss           | 0.174      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 18.4        |
|    ep_rew_mean          | 15.7        |
| time/                   |             |
|    fps                  | 31          |
|    iterations           | 24          |
|    time_elapsed         | 589         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.066414125 |
|    clip_fraction        | 0.483       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.833      |
|    explained_variance   | 0.395       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0876     |
|    n_updates            | 690         |
|    policy_gradient_loss | -0.0843     |
|    value_loss           | 0.179       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 18.7       |
|    ep_rew_mean          | 16.1       |
| time/                   |            |
|    fps                  | 31         |
|    iterations           | 25         |
|    time_elapsed         | 610        |
|    total_timesteps      | 19200      |
| train/                  |            |
|    approx_kl            | 0.08081691 |
|    clip_fraction        | 0.513      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.801     |
|    explained_variance   | 0.501      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0786    |
|    n_updates            | 720        |
|    policy_gradient_loss | -0.0892    |
|    value_loss           | 0.117      |
----------------------------------------
Traceback (most recent call last):
  File "/Users/visakkumar/Desktop/reactive/highway-env/scripts/sb3_highway_intersection_ppo.py", line 37, in <module>
    model.learn(total_timesteps=int(1e5))
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/ppo/ppo.py", line 299, in learn
    return super(PPO, self).learn(
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 250, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py", line 162, in step
    return self.step_wait()
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 255, in recv
    buf = self._recv_bytes()
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 419, in _recv_bytes
    buf = self._recv(4)
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 384, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
