---------------------------------
| rollout/           |          |
|    iterations           | 23          |
|    time_elapsed         | 359         |
|    total_timesteps      | 17664       |
| train/                  |             |
|    approx_kl            | 0.054278627 |
|    clip_fraction        | 0.459       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.845      |
|    explained_variance   | 0.388       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0541     |
|    n_updates            | 660         |
|    policy_gradient_loss | -0.0692     |
|    value_loss           | 0.125       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35.5       |
|    ep_rew_mean          | 33.3       |
| time/                   |            |
|    fps                  | 49         |
|    iterations           | 24         |
|    time_elapsed         | 372        |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.06684739 |
|    clip_fraction        | 0.451      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.845     |
|    explained_variance   | 0.461      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.054     |
|    n_updates            | 690        |
|    policy_gradient_loss | -0.0745    |
|    value_loss           | 0.104      |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.1      |
|    ep_rew_mean          | 34.7      |
| time/                   |           |
|    fps                  | 49        |
|    iterations           | 25        |
|    time_elapsed         | 386       |
|    total_timesteps      | 19200     |
| train/                  |           |
|    approx_kl            | 0.0749996 |
|    clip_fraction        | 0.482     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.865    |
|    explained_variance   | 0.347     |
|    learning_rate        | 0.0005    |
|    loss                 | -0.0498   |
|    n_updates            | 720       |
|    policy_gradient_loss | -0.076    |
|    value_loss           | 0.107     |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.1       |
|    ep_rew_mean          | 33.8       |
| time/                   |            |
|    fps                  | 49         |
|    iterations           | 26         |
|    time_elapsed         | 400        |
|    total_timesteps      | 19968      |
| train/                  |            |
|    approx_kl            | 0.05340914 |
|    clip_fraction        | 0.474      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.843     |
|    explained_variance   | 0.522      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0974    |
|    n_updates            | 750        |
|    policy_gradient_loss | -0.0662    |
|    value_loss           | 0.0884     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 35.8        |
|    ep_rew_mean          | 33.5        |
| time/                   |             |
|    fps                  | 50          |
|    iterations           | 27          |
|    time_elapsed         | 413         |
|    total_timesteps      | 20736       |
| train/                  |             |
|    approx_kl            | 0.057055276 |
|    clip_fraction        | 0.445       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.836      |
|    explained_variance   | 0.492       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0649     |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.065      |
|    value_loss           | 0.103       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 34.4        |
| time/                   |             |
|    fps                  | 50          |
|    iterations           | 28          |
|    time_elapsed         | 425         |
|    total_timesteps      | 21504       |
| train/                  |             |
|    approx_kl            | 0.077750914 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.861      |
|    explained_variance   | 0.316       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0717     |
|    n_updates            | 810         |
|    policy_gradient_loss | -0.0696     |
|    value_loss           | 0.112       |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 37.2      |
|    ep_rew_mean          | 34.4      |
| time/                   |           |
|    fps                  | 50        |
|    iterations           | 29        |
|    time_elapsed         | 440       |
|    total_timesteps      | 22272     |
| train/                  |           |
|    approx_kl            | 0.0578808 |
|    clip_fraction        | 0.475     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.864    |
|    explained_variance   | 0.363     |
|    learning_rate        | 0.0005    |
|    loss                 | -0.04     |
|    n_updates            | 840       |
|    policy_gradient_loss | -0.0583   |
|    value_loss           | 0.129     |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.4       |
|    ep_rew_mean          | 33.8       |
| time/                   |            |
|    fps                  | 50         |
|    iterations           | 30         |
|    time_elapsed         | 454        |
|    total_timesteps      | 23040      |
| train/                  |            |
|    approx_kl            | 0.06599655 |
|    clip_fraction        | 0.499      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.831     |
|    explained_variance   | 0.466      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0157    |
|    n_updates            | 870        |
|    policy_gradient_loss | -0.0731    |
|    value_loss           | 0.0857     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37          |
|    ep_rew_mean          | 34.5        |
| time/                   |             |
|    fps                  | 50          |
|    iterations           | 31          |
|    time_elapsed         | 467         |
|    total_timesteps      | 23808       |
| train/                  |             |
|    approx_kl            | 0.064140856 |
|    clip_fraction        | 0.461       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.787      |
|    explained_variance   | 0.325       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0213     |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0653     |
|    value_loss           | 0.142       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.9       |
|    ep_rew_mean          | 35.3       |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 32         |
|    time_elapsed         | 480        |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.07197041 |
|    clip_fraction        | 0.45       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.8       |
|    explained_variance   | 0.427      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0497    |
|    n_updates            | 930        |
|    policy_gradient_loss | -0.0662    |
|    value_loss           | 0.102      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.2       |
|    ep_rew_mean          | 34.9       |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 33         |
|    time_elapsed         | 494        |
|    total_timesteps      | 25344      |
| train/                  |            |
|    approx_kl            | 0.06492568 |
|    clip_fraction        | 0.487      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.817     |
|    explained_variance   | 0.35       |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0717    |
|    n_updates            | 960        |
|    policy_gradient_loss | -0.0758    |
|    value_loss           | 0.107      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.7        |
|    ep_rew_mean          | 35.2        |
| time/                   |             |
|    fps                  | 51          |
|    iterations           | 34          |
|    time_elapsed         | 509         |
|    total_timesteps      | 26112       |
| train/                  |             |
|    approx_kl            | 0.068083204 |
|    clip_fraction        | 0.505       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.814      |
|    explained_variance   | 0.498       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0517     |
|    n_updates            | 990         |
|    policy_gradient_loss | -0.0631     |
|    value_loss           | 0.0987      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | 34.9        |
| time/                   |             |
|    fps                  | 51          |
|    iterations           | 35          |
|    time_elapsed         | 522         |
|    total_timesteps      | 26880       |
| train/                  |             |
|    approx_kl            | 0.073925465 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.783      |
|    explained_variance   | 0.468       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0708     |
|    n_updates            | 1020        |
|    policy_gradient_loss | -0.0706     |
|    value_loss           | 0.128       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.7       |
|    ep_rew_mean          | 35         |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 36         |
|    time_elapsed         | 535        |
|    total_timesteps      | 27648      |
| train/                  |            |
|    approx_kl            | 0.08421036 |
|    clip_fraction        | 0.478      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.712     |
|    explained_variance   | 0.404      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0331    |
|    n_updates            | 1050       |
|    policy_gradient_loss | -0.07      |
|    value_loss           | 0.0858     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.6       |
|    ep_rew_mean          | 34         |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 37         |
|    time_elapsed         | 548        |
|    total_timesteps      | 28416      |
| train/                  |            |
|    approx_kl            | 0.05552566 |
|    clip_fraction        | 0.431      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.685     |
|    explained_variance   | 0.344      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0453    |
|    n_updates            | 1080       |
|    policy_gradient_loss | -0.064     |
|    value_loss           | 0.129      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 36.5       |
|    ep_rew_mean          | 34         |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 38         |
|    time_elapsed         | 561        |
|    total_timesteps      | 29184      |
| train/                  |            |
|    approx_kl            | 0.06579166 |
|    clip_fraction        | 0.427      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.716     |
|    explained_variance   | 0.261      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0294    |
|    n_updates            | 1110       |
|    policy_gradient_loss | -0.0639    |
|    value_loss           | 0.177      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35.1       |
|    ep_rew_mean          | 33.1       |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 39         |
|    time_elapsed         | 576        |
|    total_timesteps      | 29952      |
| train/                  |            |
|    approx_kl            | 0.07190135 |
|    clip_fraction        | 0.461      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.702     |
|    explained_variance   | 0.316      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0249    |
|    n_updates            | 1140       |
|    policy_gradient_loss | -0.053     |
|    value_loss           | 0.136      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 34.6       |
|    ep_rew_mean          | 32.6       |
| time/                   |            |
|    fps                  | 52         |
|    iterations           | 40         |
|    time_elapsed         | 590        |
|    total_timesteps      | 30720      |
| train/                  |            |
|    approx_kl            | 0.09559977 |
|    clip_fraction        | 0.522      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.745     |
|    explained_variance   | 0.379      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0799    |
|    n_updates            | 1170       |
|    policy_gradient_loss | -0.0801    |
|    value_loss           | 0.106      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 34.4        |
|    ep_rew_mean          | 32.4        |
| time/                   |             |
|    fps                  | 51          |
|    iterations           | 41          |
|    time_elapsed         | 609         |
|    total_timesteps      | 31488       |
| train/                  |             |
|    approx_kl            | 0.080339395 |
|    clip_fraction        | 0.481       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.798      |
|    explained_variance   | 0.509       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0643     |
|    n_updates            | 1200        |
|    policy_gradient_loss | -0.0642     |
|    value_loss           | 0.0882      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 35.9       |
|    ep_rew_mean          | 33.7       |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 42         |
|    time_elapsed         | 624        |
|    total_timesteps      | 32256      |
| train/                  |            |
|    approx_kl            | 0.07933133 |
|    clip_fraction        | 0.526      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.765     |
|    explained_variance   | 0.321      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0879    |
|    n_updates            | 1230       |
|    policy_gradient_loss | -0.0757    |
|    value_loss           | 0.0831     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 37.3       |
|    ep_rew_mean          | 34.7       |
| time/                   |            |
|    fps                  | 51         |
|    iterations           | 43         |
|    time_elapsed         | 639        |
|    total_timesteps      | 33024      |
| train/                  |            |
|    approx_kl            | 0.08006994 |
|    clip_fraction        | 0.51       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.737     |
|    explained_variance   | 0.416      |
|    learning_rate        | 0.0005     |
|    loss                 | -0.0772    |
|    n_updates            | 1260       |
|    policy_gradient_loss | -0.0674    |
|    value_loss           | 0.119      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38.9        |
|    ep_rew_mean          | 35.9        |
| time/                   |             |
|    fps                  | 51          |
|    iterations           | 44          |
|    time_elapsed         | 656         |
|    total_timesteps      | 33792       |
| train/                  |             |
|    approx_kl            | 0.075335436 |
|    clip_fraction        | 0.448       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.74       |
|    explained_variance   | 0.379       |
|    learning_rate        | 0.0005      |
|    loss                 | -0.0678     |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.0657     |
|    value_loss           | 0.098       |
-----------------------------------------
Traceback (most recent call last):
  File "/Users/visakkumar/Desktop/reactive/highway-env/scripts/sb3_highway_intersection_ppo.py", line 37, in <module>
    model.learn(total_timesteps=int(1e5))
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/ppo/ppo.py", line 299, in learn
    return super(PPO, self).learn(
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 250, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/on_policy_algorithm.py", line 178, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/base_vec_env.py", line 162, in step
    return self.step_wait()
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in step_wait
    results = [remote.recv() for remote in self.remotes]
  File "/Users/visakkumar/Desktop/reactive/stable-baselines3/stable_baselines3/common/vec_env/subproc_vec_env.py", line 120, in <listcomp>
    results = [remote.recv() for remote in self.remotes]
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 255, in recv
    buf = self._recv_bytes()
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 419, in _recv_bytes
    buf = self._recv(4)
  File "/usr/local/Cellar/python@3.9/3.9.9/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/connection.py", line 384, in _recv
    chunk = read(handle, remaining)
KeyboardInterrupt
